model,task,eval_split,score_threshold,cutoff,group,n_images,n_gt,n_pred,n_unmatched,n_forgiven,recall,precision,f1
detectron2-maskrcnn,TreePolygons,validation,0.1,0.9,Frey et al. 2026,61,2725,4084,2991,2967,0.37469259578993924,0.9788742842248884,0.5419413727147703
detectron2-maskrcnn,TreePolygons,validation,0.1,0.95,overall (macro),85,4329,5546,3728,3642,0.4304336806177317,0.9468417463982775,0.5918243655123226
detectron2-maskrcnn,TreePolygons,validation,0.1,0.95,Allen et al. 2025,24,1604,1462,737,675,0.4861747654455241,0.9148092085716665,0.6349211135219998
detectron2-maskrcnn,TreePolygons,validation,0.1,0.95,Frey et al. 2026,61,2725,4084,2991,2967,0.37469259578993924,0.9788742842248884,0.5419413727147703
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0,overall (macro),85,4329,5546,3728,3538,0.4304336806177317,0.8846958717444124,0.5791108558366566
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0,Allen et al. 2025,24,1604,1462,737,577,0.4861747654455241,0.8200845042408176,0.6104521525661978
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0,Frey et al. 2026,61,2725,4084,2991,2961,0.37469259578993924,0.9493072392480074,0.537308818721752
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0001,overall (macro),85,4329,5546,3728,0,0.4304336806177317,0.3850414562142551,0.40647422270302647
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0001,Allen et al. 2025,24,1604,1462,737,0,0.4861747654455241,0.49468435107776526,0.4903926451890063
detectron2-maskrcnn,TreePolygons,validation,0.1,1.0001,Frey et al. 2026,61,2725,4084,2991,0,0.37469259578993924,0.2753985613507449,0.317462561045095
Detectree2,TreePolygons,validation,0.1,0.0,overall (macro),85,4329,8500,6538,5647,0.4603142430243319,0.7121669370980168,0.5591912094026489
Detectree2,TreePolygons,validation,0.1,0.0,Allen et al. 2025,24,1604,2400,1691,1459,0.4872817110394722,0.7480143022581699,0.5901317338721694
Detectree2,TreePolygons,validation,0.1,0.0,Frey et al. 2026,61,2725,6100,4847,4188,0.4333467750091916,0.6763195719378637,0.5282324839014942
Detectree2,TreePolygons,validation,0.1,0.05,overall (macro),85,4329,8500,6538,5523,0.4603142430243319,0.6612188823198323,0.5427721436137645
Detectree2,TreePolygons,validation,0.1,0.05,Allen et al. 2025,24,1604,2400,1691,1345,0.4872817110394722,0.6604419496380143,0.5607992486133632
Detectree2,TreePolygons,validation,0.1,0.05,Frey et al. 2026,61,2725,6100,4847,4178,0.4333467750091916,0.6619958150016503,0.5238064403169186
Detectree2,TreePolygons,validation,0.1,0.1,overall (macro),85,4329,8500,6538,5484,0.4603142430243319,0.6510110556859026,0.5393014298267368
Detectree2,TreePolygons,validation,0.1,0.1,Allen et al. 2025,24,1604,2400,1691,1307,0.4872817110394722,0.6403462884934257,0.5534254829502373
Detectree2,TreePolygons,validation,0.1,0.1,Frey et al. 2026,61,2725,6100,4847,4177,0.4333467750091916,0.6616758228783794,0.5237062403991386
Detectree2,TreePolygons,validation,0.1,0.15,overall (macro),85,4329,8500,6538,5454,0.4603142430243319,0.6448459124627139,0.5371741943262414
Detectree2,TreePolygons,validation,0.1,0.15,Allen et al. 2025,24,1604,2400,1691,1278,0.4872817110394722,0.6281979829087277,0.5488390145406358
Detectree2,TreePolygons,validation,0.1,0.15,Frey et al. 2026,61,2725,6100,4847,4176,0.4333467750091916,0.6614938420167003,0.5236492301593112
Detectree2,TreePolygons,validation,0.1,0.2,overall (macro),85,4329,8500,6538,5433,0.4603142430243319,0.6400730908680035,0.5355109991332874
Detectree2,TreePolygons,validation,0.1,0.2,Allen et al. 2025,24,1604,2400,1691,1258,0.4872817110394722,0.6191077131254998,0.5453411957497982
Detectree2,TreePolygons,validation,0.1,0.2,Frey et al. 2026,61,2725,6100,4847,4175,0.4333467750091916,0.661038468610507,0.5235064895098733
Detectree2,TreePolygons,validation,0.1,0.25,overall (macro),85,4329,8500,6538,5424,0.4603142430243319,0.6385891014232707,0.5349909258361661
Detectree2,TreePolygons,validation,0.1,0.25,Allen et al. 2025,24,1604,2400,1691,1249,0.4872817110394722,0.6161397342360346,0.5441866754057458
Detectree2,TreePolygons,validation,0.1,0.25,Frey et al. 2026,61,2725,6100,4847,4175,0.4333467750091916,0.661038468610507,0.5235064895098733
Detectree2,TreePolygons,validation,0.1,0.3,overall (macro),85,4329,8500,6538,5415,0.4603142430243319,0.6371587178210093,0.5344883078562942
Detectree2,TreePolygons,validation,0.1,0.3,Allen et al. 2025,24,1604,2400,1691,1240,0.4872817110394722,0.6132789670315116,0.5430679659088467
Detectree2,TreePolygons,validation,0.1,0.3,Frey et al. 2026,61,2725,6100,4847,4175,0.4333467750091916,0.661038468610507,0.5235064895098733
Detectree2,TreePolygons,validation,0.1,0.35,overall (macro),85,4329,8500,6538,5406,0.4603142430243319,0.6350272193604279,0.5337368917694846
Detectree2,TreePolygons,validation,0.1,0.35,Allen et al. 2025,24,1604,2400,1691,1232,0.4872817110394722,0.6101544036258315,0.5418394343396284
Detectree2,TreePolygons,validation,0.1,0.35,Frey et al. 2026,61,2725,6100,4847,4174,0.4333467750091916,0.6599000350950244,0.523149117644571
Detectree2,TreePolygons,validation,0.1,0.4,overall (macro),85,4329,8500,6538,5396,0.4603142430243319,0.6330596561104438,0.5330406672819292
